Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
377,324.17,118.03,352.33,123.75,29.59,88.77,65.34,8.58,3.08,0.0,0.0,0.0,26.51,18.15,45.98,68.42,1110.56,162.14
378,324.17,122.98,361.68,137.28,29.59,101.42,74.25,15.4,0.0,0.0,0.0,0.0,16.83,12.76,35.53,58.85,1166.77,123.97
379,321.53,125.51,366.3,150.7,31.68,109.01,76.56,27.5,0.0,0.0,0.0,0.0,11.99,9.02,25.08,45.21,1208.79,91.3
380,318.89,127.93,366.3,158.84,35.97,114.4,80.96,36.08,0.0,0.0,0.0,0.0,7.15,5.39,16.72,15.73,1239.37,44.99
381,316.25,127.93,363.99,161.48,35.97,117.15,83.27,41.25,0.0,0.0,0.0,0.0,4.73,0.0,10.45,4.51,1247.29,19.69
382,310.86,125.51,356.95,166.87,35.97,119.9,85.47,44.77,0.0,0.0,0.0,0.0,4.73,0.0,8.36,4.51,1246.3,17.6
383,300.3,122.98,345.29,172.15,38.06,122.65,85.47,48.18,0.0,0.0,0.0,0.0,4.73,0.0,8.36,0.0,1235.08,13.09
384,289.63,120.45,333.63,174.79,38.06,125.4,87.78,51.59,0.0,0.0,0.0,0.0,0.0,0.0,8.36,0.0,1221.33,8.36
385,276.43,115.5,316.36,180.07,40.15,128.15,89.98,55.11,0.0,0.0,0.0,0.0,4.73,0.0,6.27,0.0,1201.75,11.0
386,256.52,110.77,296.67,185.35,40.15,130.9,89.98,57.2,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,1167.54,4.18
387,239.58,106.15,277.09,190.63,42.35,130.9,92.18,59.29,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,1138.17,4.18
388,220.11,99.22,258.17,193.27,42.35,133.65,92.18,61.38,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,1100.33,4.18
389,201.52,94.71,239.36,198.44,44.44,136.4,94.49,63.58,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,1072.94,4.18
390,182.82,87.78,220.55,201.08,44.44,139.15,96.69,65.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.18,0.0
391,164.56,80.96,200.75,206.36,44.44,142.01,99.0,69.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.04,0.0
392,147.07,74.03,180.95,211.64,46.53,144.76,101.2,74.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.32,0.0
393,129.47,69.52,163.79,216.92,46.53,150.26,103.4,78.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.32,0.0
394,112.42,62.59,144.43,224.84,46.53,155.76,105.71,82.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.89,0.0
395,99.99,55.77,127.49,229.9,48.62,161.26,110.22,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.15,0.0
396,87.56,51.26,113.08,237.49,48.62,166.76,112.75,93.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.8,0.0
397,75.13,44.55,101.86,245.08,50.82,172.59,115.28,99.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.97,0.0
398,66.88,40.15,90.75,252.67,50.82,181.72,120.34,105.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.26,0.0
399,56.54,33.44,79.53,262.9,52.91,190.85,125.51,112.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.99,0.0
